ParcelID,ParcelType,Map,Lot,GIS_Area,siteaddres,yearbuilt,decadebuilt
0291 1 75    0001,Parcel,C1,75,0.863820174,75 BEACON HILL DRIVE,0,na
3836 1 1081  0001,Parcel,E2,1081,0.401706328,1081 NORTH MAIN STREET,0,na
5605 2 10    0001,Parcel,C4,2795,0.147121402,10 TOLL HOUSE LANE,0,na
4491 2 196   0001,Parcel,F10,196,0.185392359,196 RAYMOND ROAD,0,na
3931 2 26    0001,Parcel,G4,26,0.452285523,26 NORWOOD ROAD,0,na
2681 2 102   0001,Parcel,C5,102,0.991517358,102 HIGH RIDGE ROAD,0,na
5241 2 162   0001,Parcel,H6,162,0.656586763,162 STEELE ROAD,0,na
2151 2 136   0001,Parcel,E5,136,0.928128447,136 FOX CHASE LANE,0,na
5641 2 1286  0001,Parcel,F6,1286,0.087083495,1286 TROUT BROOK DRIVE,0,na
0031 2 3110  0001,Parcel,A2,3110,20.62328694,3110 ALBANY AVENUE,0,na
0031 2 3120  0001,Parcel,A2,3120,1.201183572,3120 ALBANY AVENUE,0,na
3761 2 16    0001,Parcel,G10,16,0.118133398,16 NESBIT AVENUE,0,na
3331 2 38    0001,Parcel,D3,38,0.273154044,38 LOSTBROOK ROAD,0,na
0247 1 107   0001,Parcel,C5,107,1.677894392,107 BALFOUR DRIVE,0,na
6021 1 7     0001,Parcel,C3,7,2.408865897,7 WESTCLIFF DRIVE,0,na
6021 1 5     0001,Parcel,C3,5,0.104304551,5 WESTCLIFF DRIVE,0,na
2471 2 44    0001,Parcel,F4,44,0.229140214,44 GRENHART STREET,0,na
2471 2 46    0001,Parcel,F4,46,0.221948193,46 GRENHART STREET,0,na
2471 2 48    0001,Parcel,F4,48,0.221991306,48 GRENHART STREET,0,na
2471 2 50    0001,Parcel,F4,50,0.221427766,50 GRENHART STREET,0,na
3671 1 19    0001,Parcel,F4,19,0.164742845,19 MOHEGAN DRIVE,0,na
0247 1 99    0001,Parcel,C5,99,1.576321443,99 BALFOUR DRIVE,0,na
0247 1 137   0001,Parcel,C5,137,2.217486276,137 BALFOUR DRIVE,0,na
3701 1 671   0001,Parcel,D4,671,0.452707731,671 MOUNTAIN ROAD,0,na
3441 1 23    0001,Parcel,F4,23,0.717481887,23 MANSFIELD AVENUE,0,na
3696 2 42    0001,Parcel,C4,42,1.259932907,42 MOUNTAIN BROOK ROAD,0,na
0031 2 2360  0001,Parcel,F4,2360,0.483667601,2360 ALBANY AVENUE,0,na
0031 1 2689  0001,Parcel,D4,2689,20.50514647,2689 ALBANY AVENUE,0,na
0031 2 2358  0001,Parcel,F4,2358,0.413729134,2358 ALBANY AVENUE,0,na
5011 2 4     0011,Parcel,G4,2215,0.343375546,4 SIOUX LANE,0,na
3701 1 895   0001,Parcel,C1,895,0.849836049,895 MOUNTAIN ROAD,0,na
0031 1 2865R 0001,Parcel,C4,2865R,16.94311308,2865 ALBANY AVENUE,0,na
3698 2 34    0001,Parcel,D5,34,0.553139942,34 MOUNTAIN FARMS ROAD,0,na
3141 2 30    0001,Parcel,G5,30,0.173193241,30 LAWLER ROAD,0,na
5241 2 164   0301,Parcel,H6,164,5.2001268,164 STEELE ROAD,0,na
0181 1 1755  0001,Parcel,F6,1755,0.435766536,1755 ASYLUM AVENUE,0,na
0181 1 1753  0001,Parcel,F6,1753,0.1860453,1753 ASYLUM AVENUE,0,na
5993 2 15    0001,Parcel,H8,15,0.274460694,15 WEST HILL DRIVE,0,na
3687 1 11    0001,Parcel,C6,11,1.106068198,11 MORNINGCREST DRIVE,0,na
