ParcelID,ParcelType,siteaddres,GIS_Area,yearbuilt,decadebuilt
3861 2 66    0001,Parcel,66 NORTHBROOK DRIVE,0.300140138829,1960,1960
5681 2 16    0001,Parcel,16 TUMBLEBROOK LANE,0.310200119428,1962,1960
6311 1 17    0001,Parcel,17 WOODMONT ROAD,0.566292987226,1953,1950
5681 2 22    0001,Parcel,22 TUMBLEBROOK LANE,0.300072587866,1960,1960
3701 1 865   0001,Parcel,865 MOUNTAIN ROAD,0.428227875216,1960,1960
6311 1 23    0001,Parcel,23 WOODMONT ROAD,0.297864531045,1954,1950
0291 1 75    0001,Parcel,75 BEACON HILL DRIVE,0.863820173652,0,na
1925 1 7     0001,Parcel,7 FAWN BROOK,0.573237392602,1989,1980
5681 2 10    0001,Parcel,10 TUMBLEBROOK LANE,0.376674214068,1965,1960
6311 1 25    0001,Parcel,25 WOODMONT ROAD,0.264917292979,1963,1960
2201 2 86    0001,Parcel,86 FULLER DRIVE,0.30027504144,1957,1950
4321 1 45    0001,Parcel,45 POCAHONTAS DRIVE,0.250587718376,1955,1950
3836 1 1081  0001,Parcel,1081 NORTH MAIN STREET,0.401706327952,0,na
3991 1 37    0001,Parcel,37 OLD MEADOW ROAD,0.272841646862,1954,1950
2201 1 41    0001,Parcel,41 FULLER DRIVE,0.29803493233,1959,1950
2201 2 90    0001,Parcel,90 FULLER DRIVE,0.295135403756,1958,1950
3991 1 33    0001,Parcel,33 OLD MEADOW ROAD,0.274785865421,1954,1950
2011 2 130   0001,Parcel,130 FERNCLIFF DRIVE,1.24271862822,1985,1980
2201 2 94    0001,Parcel,94 FULLER DRIVE,0.310189194222,1957,1950
2111 1 5     0001,Parcel,5 FOREST HILLS DRIVE,0.409398455729,1942,1940
3991 1 31    0001,Parcel,31 OLD MEADOW ROAD,0.280242251195,1954,1950
2201 2 96    0001,Parcel,96 FULLER DRIVE,0.298555230182,1957,1950
4941 2 84    0001,Parcel,84 SHEEP HILL DRIVE,0.31159504239,1956,1950
4941 2 88    0001,Parcel,88 SHEEP HILL DRIVE,0.376579326372,1956,1950
2121 1 15    0001,Parcel,15 FOREST HILLS LANE,0.416983332346,1952,1950
5271 2 8     0001,Parcel,8 STILL LANE,0.321708999956,1964,1960
3861 2 14    0001,Parcel,14 NORTHBROOK DRIVE,0.356554495805,1957,1950
3861 2 100   0001,Parcel,100 NORTHBROOK DRIVE,0.259975406562,1960,1960
5271 1 5     0001,Parcel,5 STILL LANE,0.321883355852,1966,1960
0051 2 30    0001,Parcel,30 ALDERWOOD DRIVE,0.276370606834,1959,1950
0471 2 394   0001,Parcel,394 BLOOMFIELD AVENUE,0.945479032177,1951,1950
0291 2 48    0001,Parcel,48 BEACON HILL DRIVE,0.878774077347,1972,1970
3861 1 99    0001,Parcel,99 NORTHBROOK DRIVE,0.276990105368,1961,1960
3701 2 886   0001,Parcel,886 MOUNTAIN ROAD,1.08480103367,1958,1950
3861 1 11    0001,Parcel,11 NORTHBROOK DRIVE,0.319001276421,1958,1950
3861 2 98    0001,Parcel,98 NORTHBROOK DRIVE,0.258515809243,1963,1960
0291 2 54    0001,Parcel,54 BEACON HILL DRIVE,0.771093067936,1972,1970
0051 2 26    0001,Parcel,26 ALDERWOOD DRIVE,0.260532100567,1959,1950
5271 2 12    0001,Parcel,12 STILL LANE,0.321729522756,1964,1960
5271 1 9     0001,Parcel,9 STILL LANE,0.32183990105,1966,1960
0471 2 390   0001,Parcel,390 BLOOMFIELD AVENUE,0.932686414839,1949,1940
3701 1 885   0001,Parcel,885 MOUNTAIN ROAD,0.465149971173,1970,1970
5281 1 7     0001,Parcel,7 STILL ROAD,0.423593198344,1954,1950
2421 1 11    0001,Parcel,11 GREENBRIER DRIVE,0.344319842662,1957,1950
3861 1 13    0001,Parcel,13 NORTHBROOK DRIVE,0.318930781205,1958,1950
3861 2 94    0001,Parcel,94 NORTHBROOK DRIVE,0.258366337879,1959,1950
4407 1 19    0001,Parcel,19 QUAIL HOLLOW,0.671258252636,1987,1980
0051 2 24    0001,Parcel,24 ALDERWOOD DRIVE,0.262154986655,1959,1950
0291 2 60    0001,Parcel,60 BEACON HILL DRIVE,0.577322510751,1965,1960
5371 1 145   0001,Parcel,145 SUNNY REACH DRIVE,0.444423577373,1971,1970
1391 1 63    0001,Parcel,63 CROYDON DRIVE,0.345488214455,1961,1960
3861 1 121   0001,Parcel,121 NORTHBROOK DRIVE,0.345802575953,1959,1950
3861 2 118   0001,Parcel,118 NORTHBROOK DRIVE,0.259304954679,1960,1960
0051 2 48    0001,Parcel,48 ALDERWOOD DRIVE,0.256246174726,1959,1950
3861 1 117   0001,Parcel,117 NORTHBROOK DRIVE,0.259904216483,1960,1960
5371 1 141   0001,Parcel,141 SUNNY REACH DRIVE,0.432568216462,1970,1970
0051 1 45    0001,Parcel,45 ALDERWOOD DRIVE,0.258630771773,1959,1950
2421 2 36    0001,Parcel,36 GREENBRIER DRIVE,0.263534363824,1957,1950
4341 2 44    0001,Parcel,44 PORTAGE ROAD,0.265711876441,1963,1960
4341 2 42    0001,Parcel,42 PORTAGE ROAD,0.267349519776,1957,1950
4341 2 38    0001,Parcel,38 PORTAGE ROAD,0.264657877601,1960,1960
3861 2 116   0001,Parcel,116 NORTHBROOK DRIVE,0.261327009577,1960,1960
0051 2 44    0001,Parcel,44 ALDERWOOD DRIVE,0.259271024329,1959,1950
3861 1 115   0001,Parcel,115 NORTHBROOK DRIVE,0.26153181127,1960,1960
0051 1 43    0001,Parcel,43 ALDERWOOD DRIVE,0.255121144199,1959,1950
2421 2 32    0001,Parcel,32 GREENBRIER DRIVE,0.256205123265,1957,1950
3861 2 112   0001,Parcel,112 NORTHBROOK DRIVE,0.255332018637,1959,1950
0051 2 42    0001,Parcel,42 ALDERWOOD DRIVE,0.257492332929,1959,1950
3861 1 111   0001,Parcel,111 NORTHBROOK DRIVE,0.260040107855,1960,1960
4341 2 14    0001,Parcel,14 PORTAGE ROAD,0.344155517443,1956,1950
