id,giscode,siteaddres,landuse,scrcog_lu,yearbuilt,decadebuilt
1,2027-001-00-0000,8 BEECHWOOD LA,Single Fam M01,Residential,1960,1960s
2,2028-001-00-0000,43 BEECHWOOD LA,Single Fam M01,Residential,1955,1950s
3,2028-002-00-0000,145 CLIFF ST,Single Fam M01,Residential,1921,1920s
4,2028-003-00-0000,135 CLIFF ST,Single Fam M01,Residential,1969,1960s
6,2028-005-00-0000,144 EDGEHILL RD,Single Fam M01,Residential,1910,1910s
7,2028-006-00-0000,140 EDGEHILL RD,Single Fam M01,Residential,1902,1900s
9,2028-007-00-0000,827 WHITNEY AVE,Single Fam M01,Residential,1820,pre1900s
10,2028-008-00-0000,841 WHITNEY AVE,Single Fam M01,Residential,1917,1910s
11,2028-009-00-0000,857 WHITNEY AVE,Single Fam M01,Residential,1890,pre1900s
13,2028-010-00-0000,853 WHITNEY AVE,Single Fam M01,Residential,1920,1920s
14,2028-011-00-0000,849 WHITNEY AVE,Three Fam M01,Residential,1920,1920s
15,2029-001-00-0000,845 WHITNEY AVE,Single Fam M01,Residential,1917,1910s
19,2030-001-00-0000,1687 STATE ST,Single Fam M01,Residential,1930,1930s
20,2030-002-00-0000,1691 STATE ST,Two Family M01,Residential,1930,1930s
21,2030-003-00-0000,1695 STATE ST,Single Fam M01,Residential,1900,1900s
22,2030-005-00-0000,1709 STATE ST,Single Fam M01,Residential,1925,1920s
23,2030-006-00-0000,1717 STATE ST,Multi Hses,Residential,1920,1920s
24,2030-007-00-0000,1725 STATE ST,Single Fam M01,Residential,1926,1920s
25,2030-008-00-0000,1727 STATE ST,Single Fam M01,Residential,1906,1900s
26,2030-009-00-0000,19 ARMSTRONG ST,Single Fam M01,Residential,1920,1920s
84,2030-012-00-0000,1704 STATE ST,Two Family M01,Residential,1925,1920s
85,2030-013-00-0000,1700 STATE ST,Two Family M01,Residential,1925,1920s
87,2030-015-00-0000,1694 STATE ST,Single Fam M01,Residential,1915,1910s
88,2030-016-00-0000,1690 STATE ST,Single Fam M01,Residential,1910,1910s
89,2030-017-00-0000,1686 STATE ST,Single Fam M01,Residential,1920,1920s
90,2030-018-00-0000,1680 STATE ST,Two Family M01,Residential,1915,1910s
